date,city,county,state,postal,lat,long,fips,candidate,event-type,notes,biden-total-visits-city,biden-total-visits-county,biden-total-visits-state,trump-total-visits-city,trump-total-visits-county,trump-total-visits-state,total-state-visits,total-county-visits,total-city-visits,biden-date,trump-date,city-visits-status,county-text,reg-voters,reg-voters-as-of-date
3/13/24,Milwaukee,Milwaukee,Wisconsin,WI,43.0642,-87.9673,55079,Biden,Campaign,Roadway infrastructre improvements event,5,7,29,4,4,21,50,11,9,11/4/24,11/1/24,Both,Milwaukee County,"489,950",August 13
3/14/24,Saginaw,Saginaw,Michigan,MI,43.4199,-83.9501,26145,Biden,Campaign,Meet with campaign workers and supporters,3,3,30,2,3,33,63,6,5,10/28/24,10/29/24,Both,Saginaw County,"159,329",August 6
3/16/24,Vandalia,Montgomery,Ohio,OH,39.8791,-84.193,39113,Trump,Support other candidate,Rally for U.S. Senate candidate Bernie Moreno,0,0,0,1,1,2,2,1,1,,3/16/24,Trump,Montgomery County,"362,567",March 19
3/19/24,Phoenix,Maricopa,Arizona,AZ,33.5722,-112.0891,04013,Biden,Campaign,Campaign event,4,10,15,2,8,12,27,18,6,10/26/24,9/5/24,Both,Maricopa County,"2,934,306",July 30
3/19/24,Reno,Washoe,Nevada,NV,39.5497,-119.8483,32031,Biden,Campaign,Campaign event,4,4,13,3,3,12,25,7,7,10/31/24,10/23/24,Both,Washoe County,"378,608",June 11
3/19/24,Las Vegas,Clark,Nevada,NV,36.2333,-115.2654,32003,Biden,Campaign,Remarks on lowering costs for families,8,9,13,6,9,12,25,18,14,11/2/24,11/2/24,Both,Clark County,"1,676,870",June 11
3/20/24,Chandler,Maricopa,Arizona,AZ,33.2827,-111.8517,04013,Biden,Campaign,Tour Intel Ocotillo Campus; announces a preliminary agreement with Intel for a major CHIPS and Science Act award,3,10,15,0,8,12,27,18,3,10/9/24,,Biden,Maricopa County,"2,934,306",July 30
3/26/24,Raleigh,Wake,North Carolina,NC,35.8324,-78.6438,37183,Biden,Campaign,"Remarks at Chavis Community Center, Raleigh, about the Affordable Care Act; fundraiser afterward",5,5,21,3,3,24,45,8,8,10/30/24,11/4/24,Both,Wake County,"823,509",May 14
4/2/24,Grand Rapids,Kent,Michigan,MI,42.9615,-85.6557,26081,Trump,Campaign,Speech on immigration ,2,2,30,3,6,33,63,8,5,10/18/24,11/4/24,Both ,Kent County,"518,797",August 6
4/2/24,Green Bay,Brown,Wisconsin,WI,44.515,-87.9896,55009,Trump,Campaign,Rally at Hyatt Regency Green Bay,2,2,29,2,3,21,50,5,4,10/17/24,10/30/24,Both,Brown County,"148,476",August 13
4/8/24,Madison,Dane,Wisconsin,WI,43.0827,-89.3923,55025,Biden,Campaign,Remarks at Madison Area Technical College on lowering student loan costs for Americans ,5,5,29,0,1,21,50,6,5,10/30/24,,Biden,Dane County,"375,054",April 2
4/12/24,Palm Beach,Palm Beach,Florida,FL,26.6773877,-80.0389592,12099,Trump,Campaign,Meeting and news confertence with House Speaker Mike Johnson on election integrity,0,0,1,1,3,6,7,3,1,,4/12/24,Trump,Palm Beach County,"862,178",March 19
4/13/24,Schnecksville,Lehigh,Pennsylvania,PA,40.6763913,-75.6309196,42077,Trump,Campaign,Rally at Schnecksville Fire Company fairgrounds,0,3,43,1,2,37,80,5,1,,4/13/24,Trump,Lehigh County,"244,035",April 23
4/16/24,New York,New York,New York,NY,40.6943,-73.9249,36061,Trump,Campaign,Visit to Harlem bodega after jury selection adjourned for the day,1,1,3,5,5,6,9,6,6,10/1/24,10/27/24,Both,New York County,"1,113,601",June 25
4/16/24,Scranton,Lackawanna,Pennsylvania,PA,41.4044,-75.6649,42069,Biden,Campaign,Two campaign events in Scranton - Remarks at Scranton Cultural Center at the Masonic Temple; visit to Biden childhod home; emarks at Carpenters and Joiners Local Union 445 in south Scranton,3,3,43,1,1,37,80,4,4,11/4/24,10/9/24,Both,Lackawanna County,"143,638",April 23
4/17/24,Pittsburgh,Allegheny,Pennsylvania,PA,40.4396,-79.9763,42003,Biden,Campaign,Remarks at United Steel Workers Headquarters; brought food to construction workers at Pittsburgh International Airport working on a federally funded infrastructure project,8,8,43,2,3,37,80,11,10,11/4/24,11/4/24,Both,Allegheny County,"904,410",April 23
4/18/24,Philadelphia,Philadelphia,Pennsylvania,PA,40.0077,-75.1339,42101,Biden,Campaign,"Two campaign events in Philadelphia - one, receiving support of members of Kennedy family",8,8,43,3,3,37,80,11,11,11/4/24,9/10/24,Both,Philadelphia County,"1,035,648",April 23
4/22/24,Triangle,Prince William,Virginia,VA,38.5483,-77.3195,51153,Biden,Campaign,Earth Day commemoration,1,1,1,0,0,5,6,1,1,4/22/24,,Biden,Prince William County,"321,999",March 5
4/23/24,Tampa,Hillsborough,Florida,FL,27.9942,-82.4451,12057,Biden,Campaign,Two campaign events,1,1,1,0,0,6,7,1,1,4/23/24,,Biden,Hillsborough County,"824,092",March 19
