"Population","P010001","P010004","P010011","state","county","tract","GEOID"
3411,2568,236,5,"51","059","415100","51059415100"
3107,2672,115,8,"51","059","415200","51059415200"
3763,2937,372,14,"51","059","415300","51059415300"
5135,3835,1292,21,"51","059","415401","51059415401"
2691,2136,310,8,"51","059","415402","51059415402"
5806,4247,799,11,"51","059","415500","51059415500"
2640,1999,27,2,"51","059","415600","51059415600"
3821,2633,32,5,"51","059","415700","51059415700"
4752,3381,76,6,"51","059","415800","51059415800"
3160,2450,111,5,"51","059","415900","51059415900"
5522,4026,889,20,"51","059","416000","51059416000"
3734,2913,162,10,"51","059","416100","51059416100"
5280,2844,596,19,"51","059","416200","51059416200"
2005,1551,62,1,"51","059","416300","51059416300"
4158,3128,303,7,"51","059","420100","51059420100"
3672,2772,504,6,"51","059","420201","51059420201"
1941,1687,385,13,"51","059","420202","51059420202"
2637,2042,242,3,"51","059","420203","51059420203"
5814,4443,373,16,"51","059","420300","51059420300"
2958,2647,493,21,"51","059","420400","51059420400"
1578,1486,112,0,"51","059","420501","51059420501"
1700,1505,212,12,"51","059","420502","51059420502"
2506,2129,322,11,"51","059","420503","51059420503"
4334,3317,520,13,"51","059","420600","51059420600"
4095,3127,220,9,"51","059","420700","51059420700"
3661,2738,210,7,"51","059","420800","51059420800"
2663,2061,329,12,"51","059","421001","51059421001"
4947,3784,659,13,"51","059","421002","51059421002"
5683,4221,788,17,"51","059","421101","51059421101"
3296,2562,456,8,"51","059","421102","51059421102"
5261,3898,561,18,"51","059","421103","51059421103"
1926,1440,90,3,"51","059","421200","51059421200"
3690,2888,419,14,"51","059","421300","51059421300"
7158,5177,1674,27,"51","059","421400","51059421400"
7001,4787,1292,15,"51","059","421500","51059421500"
6342,4556,1818,17,"51","059","421600","51059421600"
4546,3281,1050,16,"51","059","421701","51059421701"
4054,3062,738,17,"51","059","421702","51059421702"
5862,4435,1465,27,"51","059","421800","51059421800"
2216,1418,372,8,"51","059","421900","51059421900"
3439,2670,559,6,"51","059","422000","51059422000"
6674,4862,1369,24,"51","059","422101","51059422101"
6101,4251,1532,22,"51","059","422102","51059422102"
3394,2330,303,3,"51","059","422201","51059422201"
5518,3891,995,14,"51","059","422202","51059422202"
3085,2373,372,12,"51","059","422301","51059422301"
5572,4482,667,22,"51","059","422302","51059422302"
2475,2007,327,17,"51","059","422401","51059422401"
4805,3730,692,17,"51","059","422402","51059422402"
2695,2066,253,1,"51","059","422403","51059422403"
4569,3454,94,5,"51","059","430101","51059430101"
2939,2244,166,7,"51","059","430102","51059430102"
4176,3147,198,7,"51","059","430201","51059430201"
5048,3815,181,6,"51","059","430202","51059430202"
2691,2022,88,9,"51","059","430203","51059430203"
6799,5162,181,5,"51","059","430400","51059430400"
1690,1291,71,5,"51","059","430500","51059430500"
7048,5331,258,11,"51","059","430600","51059430600"
2729,2125,93,3,"51","059","430700","51059430700"
4452,3356,124,11,"51","059","430801","51059430801"
4197,3293,281,18,"51","059","430802","51059430802"
4203,3144,329,6,"51","059","430901","51059430901"
3399,2550,156,3,"51","059","430902","51059430902"
4914,3748,316,6,"51","059","431001","51059431001"
2192,1647,215,5,"51","059","431002","51059431002"
4234,3095,168,8,"51","059","431300","51059431300"
4283,3193,233,17,"51","059","431400","51059431400"
5325,4025,274,2,"51","059","431500","51059431500"
8219,6714,440,6,"51","059","431600","51059431600"
4061,3033,171,6,"51","059","431801","51059431801"
3216,2418,104,8,"51","059","431802","51059431802"
3187,2367,64,1,"51","059","431900","51059431900"
3430,2495,157,8,"51","059","432000","51059432000"
3518,2728,143,8,"51","059","432100","51059432100"
2536,1941,133,5,"51","059","432201","51059432201"
4535,3421,186,10,"51","059","432202","51059432202"
4997,3732,197,5,"51","059","432300","51059432300"
3539,2628,98,2,"51","059","432401","51059432401"
4932,3633,223,11,"51","059","432402","51059432402"
5417,4070,280,7,"51","059","432500","51059432500"
4783,3475,331,5,"51","059","432600","51059432600"
3210,2440,227,5,"51","059","432701","51059432701"
4325,3227,540,13,"51","059","432702","51059432702"
2241,1599,291,15,"51","059","432800","51059432800"
7135,5305,140,7,"51","059","440100","51059440100"
2233,1833,146,6,"51","059","440201","51059440201"
5815,4601,372,29,"51","059","440202","51059440202"
2665,2023,56,0,"51","059","440300","51059440300"
4942,3758,103,3,"51","059","440501","51059440501"
7906,7345,1185,58,"51","059","440502","51059440502"
2846,2133,79,8,"51","059","440600","51059440600"
2901,2133,37,0,"51","059","440701","51059440701"
5151,3897,78,8,"51","059","440702","51059440702"
5874,4434,100,4,"51","059","440800","51059440800"
5442,4399,234,14,"51","059","450100","51059450100"
4608,3339,176,3,"51","059","450200","51059450200"
4806,3743,316,7,"51","059","450300","51059450300"
2631,2060,52,2,"51","059","450400","51059450400"
3016,2345,55,1,"51","059","450500","51059450500"
4023,3180,62,2,"51","059","450601","51059450601"
4639,3748,182,4,"51","059","450602","51059450602"
2779,2208,138,3,"51","059","450701","51059450701"
4399,3390,302,8,"51","059","450702","51059450702"
3321,2703,111,3,"51","059","450800","51059450800"
1688,1290,17,2,"51","059","450900","51059450900"
2711,2150,97,4,"51","059","451000","51059451000"
2307,1804,33,0,"51","059","451100","51059451100"
1699,1306,23,1,"51","059","451200","51059451200"
2397,1875,63,3,"51","059","451300","51059451300"
3218,2594,125,3,"51","059","451400","51059451400"
6037,4723,381,29,"51","059","451501","51059451501"
4288,3410,458,20,"51","059","451502","51059451502"
6047,4519,129,3,"51","059","451601","51059451601"
2803,2170,222,12,"51","059","451602","51059451602"
3395,2673,145,5,"51","059","451800","51059451800"
6215,4816,979,23,"51","059","451900","51059451900"
2831,2258,189,7,"51","059","452000","51059452000"
4864,3774,374,10,"51","059","452101","51059452101"
3149,2530,200,3,"51","059","452102","51059452102"
6767,5065,538,10,"51","059","452200","51059452200"
3659,2917,251,4,"51","059","452301","51059452301"
4882,3676,323,9,"51","059","452302","51059452302"
7093,5363,384,13,"51","059","452400","51059452400"
3873,3036,189,7,"51","059","452501","51059452501"
5130,3759,1118,10,"51","059","452502","51059452502"
6116,4926,1142,10,"51","059","452600","51059452600"
5539,4170,959,11,"51","059","452700","51059452700"
5185,4238,770,8,"51","059","452801","51059452801"
2936,2444,410,11,"51","059","452802","51059452802"
4286,3117,82,1,"51","059","460100","51059460100"
3973,2826,20,3,"51","059","460200","51059460200"
