"Population","P010001","P010004","P010011","state","county","GEOID"
1081726,819078,72824,2262,"51","059","51059"
65203,48758,4053,132,"51","061","51061"
15279,11932,239,4,"51","063","51063"
25691,19773,3114,44,"51","065","51065"
56159,44482,3662,47,"51","067","51067"
78305,58630,2222,148,"51","069","51069"
17434,14067,7867,20,"51","025","51025"
24098,19585,532,6,"51","027","51027"
33148,25714,786,21,"51","023","51023"
33164,26239,7096,39,"51","001","51001"
98970,77685,7415,231,"51","003","51003"
16250,12800,584,25,"51","005","51005"
12690,9868,2314,12,"51","007","51007"
32353,25413,4832,59,"51","009","51009"
14973,11648,2234,31,"51","011","51011"
207627,175001,14494,545,"51","013","51013"
4731,3927,192,6,"51","017","51017"
6824,5604,214,9,"51","021","51021"
73750,57995,2514,67,"51","015","51015"
68676,53371,3133,51,"51","019","51019"
14034,10813,613,20,"51","043","51043"
17146,13849,4938,35,"51","029","51029"
54842,42798,6039,71,"51","031","51031"
7256,5955,2890,19,"51","036","51036"
28545,21701,6474,80,"51","033","51033"
30042,23824,134,16,"51","035","51035"
12586,9685,2801,17,"51","037","51037"
316236,233721,49613,740,"51","041","51041"
11151,8700,3174,17,"51","057","51057"
5190,4079,2,1,"51","045","51045"
46689,34604,5598,85,"51","047","51047"
10052,7765,2490,18,"51","049","51049"
15903,12580,35,1,"51","051","51051"
28001,21622,7071,35,"51","053","51053"
17286,13541,196,12,"51","071","51071"
36858,28718,2561,57,"51","073","51073"
99863,74865,7056,125,"51","085","51085"
15533,12583,246,9,"51","077","51077"
21717,17317,3508,18,"51","075","51075"
18403,13812,849,35,"51","079","51079"
12243,10237,6046,11,"51","081","51081"
36241,28258,10107,34,"51","083","51083"
15935,12000,2224,19,"51","101","51101"
306935,232563,65633,623,"51","087","51087"
54151,43043,9352,104,"51","089","51089"
2321,1975,4,0,"51","091","51091"
35270,27239,6595,41,"51","093","51093"
67009,52624,6678,123,"51","095","51095"
6945,5503,1579,18,"51","097","51097"
23584,17044,3020,43,"51","099","51099"
13308,10338,1050,28,"51","113","51113"
11391,9560,2397,8,"51","103","51103"
25587,20410,916,12,"51","105","51105"
312311,216877,16237,615,"51","107","51107"
33153,25815,4635,75,"51","109","51109"
12914,10420,3708,19,"51","111","51111"
12330,10309,2377,12,"51","133","51133"
8978,7344,668,11,"51","115","51115"
32727,26351,9412,47,"51","117","51117"
10959,9198,1653,11,"51","119","51119"
94392,79277,3026,197,"51","121","51121"
15020,12128,1583,18,"51","125","51125"
18429,14328,1996,11,"51","127","51127"
12389,9953,3550,12,"51","131","51131"
28046,21569,3205,33,"51","145","51145"
15853,12590,4998,9,"51","135","51135"
33481,25819,3235,72,"51","137","51137"
24042,18849,367,18,"51","139","51139"
63506,50021,11095,37,"51","143","51143"
18490,14924,853,12,"51","141","51141"
9254,7663,2400,9,"51","159","51159"
23368,19311,5961,45,"51","147","51147"
35725,27673,8878,93,"51","149","51149"
402002,285827,56815,1450,"51","153","51153"
34872,28071,1394,45,"51","155","51155"
7373,5908,266,11,"51","157","51157"
18570,14652,5549,15,"51","175","51175"
92376,72263,3480,118,"51","161","51161"
22307,18043,473,26,"51","163","51163"
76314,58242,953,89,"51","165","51165"
28897,22992,196,11,"51","167","51167"
23177,18701,105,11,"51","169","51169"
41993,32764,543,40,"51","171","51171"
32208,25491,523,19,"51","173","51173"
37575,28495,1328,53,"51","187","51187"
122397,88354,13149,353,"51","177","51177"
128961,91764,15146,377,"51","179","51179"
7058,5571,2534,10,"51","181","51181"
12087,10059,5868,8,"51","183","51183"
45078,35903,1132,34,"51","185","51185"
222209,164688,48073,484,"51","550","51550"
54876,44122,561,40,"51","191","51191"
17454,13961,3715,34,"51","193","51193"
41452,32846,2014,39,"51","195","51195"
29235,23125,617,35,"51","197","51197"
65464,48188,6439,139,"51","199","51199"
6650,5226,255,9,"51","530","51530"
43475,37001,6332,164,"51","540","51540"
139966,115996,24185,547,"51","510","51510"
6222,4944,956,13,"51","515","51515"
17835,14128,739,24,"51","520","51520"
12332,9285,394,19,"51","610","51610"
17411,13523,1200,29,"51","570","51570"
5961,4694,597,10,"51","580","51580"
43055,33793,15132,57,"51","590","51590"
5927,4400,2631,9,"51","595","51595"
22565,17973,825,59,"51","600","51600"
13821,10866,4634,41,"51","690","51690"
8582,6536,3544,12,"51","620","51620"
24286,19507,3922,116,"51","630","51630"
7042,5498,304,14,"51","640","51640"
137436,106162,51097,562,"51","650","51650"
48914,41566,2388,172,"51","660","51660"
22591,16918,5709,75,"51","670","51670"
7042,6328,598,21,"51","678","51678"
75568,60794,16139,199,"51","680","51680"
14273,10214,1344,58,"51","685","51685"
37821,27074,3664,164,"51","683","51683"
95535,72869,36989,247,"51","740","51740"
180719,136806,52294,784,"51","700","51700"
242803,192191,77714,991,"51","710","51710"
3958,3094,183,9,"51","720","51720"
32420,25713,19955,107,"51","730","51730"
12150,9181,62,7,"51","735","51735"
21006,16110,1626,72,"51","820","51820"
16408,14263,1058,92,"51","750","51750"
204214,166205,77894,667,"51","760","51760"
97032,75906,19908,320,"51","770","51770"
24802,19868,1248,48,"51","775","51775"
23746,19131,2178,73,"51","790","51790"
84585,62448,25730,165,"51","800","51800"
437994,332745,61765,1412,"51","810","51810"
14068,12664,1599,75,"51","830","51830"
26203,20382,2123,88,"51","840","51840"
