"counties_citizen$GEOID","x","y","radii","values"
10001,1737188.53347066,365018.864322857,3.58471872443757,185043
10003,1717705.18746871,412615.15415049,6.30822875298606,573030
10005,1762739.72222099,321586.278166533,4.14828445129898,247799
12001,1315544.59407631,-778627.774667636,4.42335185879065,281751
12003,1310206.56555835,-709776.485625604,1.39905722224329,28186
12005,997394.8211665,-753446.89683601,3.54894350476307,181368
12007,1329479.99692225,-746459.460069702,1.39164171634321,27888
12009,1495468.06319128,-906921.176496961,6.5644930835857,620533
12011,1557585.22353685,-1135634.01396844,11.6253046555062,1946127
12013,1033440.5999984,-733737.976367761,0.971575181513677,13593
12015,1403371.83333368,-1075639.62079548,3.68068343593354,195083
12017,1316350.6210638,-870864.0422253,3.31969083232494,158693
12019,1357901.18486021,-738148.299892342,3.93908477807839,223436
12021,1468332.84747417,-1160396.7580548,5.18866954687487,387681
12023,1281699.58387021,-725575.284446531,2.21665100245092,70755
12027,1408939.98430263,-1043080.24297675,1.55275293162392,34719
12029,1238159.72408726,-796936.201450282,1.08499871991732,16952
12031,1370318.68521178,-694478.471156475,8.3632338575192,1007189
12033,812979.61416157,-704159.852986945,4.73810645488024,323275
12035,1420860.65922892,-785361.373341131,2.90724669289232,121710
12037,1077613.62865193,-784795.392355166,0.928634002775642,12418
12039,1087712.23669126,-709269.04278926,1.74088898107962,43642
12041,1272637.17415024,-779669.88502661,1.13327205716701,18494
12043,1483524.376899,-1057513.87117375,0.925112605758528,12324
12045,1037109.10145689,-785101.026491496,1.01283430694923,14772
12047,1253779.67715856,-695582.046729559,0.966271470941555,13445
12049,1403871.93148025,-1009740.82305919,1.330935343617,25508
12051,1490153.11721853,-1097035.96641487,1.68320956640712,40798
12053,1326766.19790785,-902980.418407509,3.74084066606544,201512
12055,1452424.94537123,-1019494.0054469,2.68493740874697,103808
12057,1354003.55885741,-964997.773040088,10.1708802743694,1489634
12059,971611.816640965,-686019.726368597,1.16744021974004,19626
12061,1518356.08904542,-969758.926838296,3.37326086878689,163856
12063,1027894.06524912,-689935.630981134,1.81911150473704,47652
12065,1157355.54082743,-714240.64844576,1.01080963148909,14713
12067,1230202.10820927,-758919.177232825,0.746984679301464,8035
12069,1383141.05264647,-864500.682698644,5.26186489965508,398696
12071,1421097.27112519,-1109175.57380318,7.41943768459279,792692
12073,1123987.11949059,-717655.016636577,4.52872774628813,295335
12075,1284070.06711058,-819891.767167407,1.75348858628228,44276
12077,1065473.8109239,-755460.516020736,0.728868986855663,7650
12079,1198268.81258659,-705724.632999098,1.12153788265142,18113
12081,1354010.79396748,-1014508.07146581,5.37496770016135,416020
12083,1352723.23332148,-825689.558858284,5.18877661667736,387697
12085,1546524.66141631,-1033121.29581699,3.33816316757185,160464
12086,1556823.1768783,-1193263.35022179,13.6557273291791,2685296
12087,1512736.49886023,-1207616.85272482,2.38397427279183,81840
12089,1347764.3813446,-664854.030666813,2.56381064043349,94653
12091,897723.81684519,-715674.127957693,3.85754131539767,214281
12093,1498612.97024123,-1004771.03607281,1.67184611864981,40249
12095,1434294.36308657,-894924.829336673,10.0016352829591,1440471
12097,1462635.39323918,-934940.417780618,5.31600701236892,406943
12099,1550883.51718572,-1080967.0069333,10.2315314646006,1507453
12101,1333783.38423668,-929742.169643346,6.39421396437609,588758
12103,1307363.48589034,-983778.584029306,8.16736816715016,960565
12105,1403102.30448934,-959668.215110051,7.26942321569524,760961
12107,1375840.77193903,-771639.169809707,2.27050838653667,74235
12109,1399467.85540326,-742009.068728856,4.50495868768824,292243
12111,1537174.11040982,-1001130.23865558,4.903492236265,346237
12113,856198.304381887,-718174.3483327,3.66779338749245,193719
