Region,pop2010,pop2020
NORTHWEST,798696,757981
ALLEGHENY,1223357,1252572
SOUTHWEST,1338264,1310468
NORTHCENTRAL,583603,570934
SOUTHCENTRAL,985003,995217
NORTHEAST,1136169,1122772
COLLAR,2482889,2614928
SOUTHEAST,2628293,2767012
PHILADELPHIA,1526027,1610816
